Iterations;PopulationSize;Pc;Pm;Pi;ElapsedMilliseconds;BestGen;BestFitness
50000;100;0,9;0,3;0,1;130342;45050;620
50000;100;0,9;0,3;0,2;130589;46175;676
50000;100;0,9;0,5;0,05;130622;49164;612
50000;100;0,9;0,5;0,1;131698;47232;694
50000;100;0,9;0,5;0,2;130924;45038;762
50000;100;0,7;0,1;0,05;112647;39376;669
50000;100;0,7;0,1;0,1;112938;32454;685
50000;100;0,7;0,1;0,2;112638;48675;612
50000;100;0,7;0,3;0,05;112926;28912;640
50000;100;0,7;0,3;0,1;113288;32043;592
50000;100;0,7;0,3;0,2;115526;49391;653
50000;100;0,7;0,5;0,05;116242;47029;783
50000;100;0,7;0,5;0,1;116069;49012;749
50000;100;0,7;0,5;0,2;116227;49761;674
50000;100;0,5;0,1;0,05;97494;27494;666
50000;100;0,5;0,1;0,1;97546;37448;698
50000;100;0,5;0,1;0,2;97480;49674;641
50000;100;0,5;0,3;0,05;97657;37603;605
50000;100;0,5;0,3;0,1;99811;40619;642
50000;100;0,5;0,3;0,2;98676;23672;644
50000;100;0,5;0,5;0,05;100240;40226;682
50000;100;0,5;0,5;0,1;100606;37414;674
50000;100;0,5;0,5;0,2;100551;49383;703
